order_id,order_date,customer_id,customer_name,city,product_name,category,quantity,unit_price,discount_percent,sales_channel,payment_method
ORD-1001,2025-07-08,CUST-120,Mason Thomas,Leeds,Running Socks,Footwear,2,9.99,10.0,Physical Store,PayPal
ORD-1002,2025-05-11,CUST-249,Sophia Thomas,Cardiff,Sneakers,Footwear,2,64.99,5.0,Marketplace,Cash
ORD-1003,2025-11-10,CUST-121,Noah Smith,Edinburgh,Canvas Tote Bag,Accessories,1,19.99,5.0,Physical Store,PayPal
ORD-1004,2025-12-30,CUST-154,Mia Brown,Bristol,Rain Coat,Outerwear,5,74.99,5.0,Online Store,PayPal
ORD-1005,2025-06-16,CUST-117,Noah Roberts,Bristol,Baseball Cap,Accessories,1,14.99,20.0,Marketplace,Credit Card
ORD-1006,2025-12-06,CUST-191,Noah Johnson,Leeds,Rain Coat,Outerwear,1,74.99,0.0,Online Store,PayPal
ORD-1007,2025-01-02,CUST-233,Sophia Taylor,Liverpool,Classic T-Shirt,Clothing,2,18.99,0.0,Online Store,Bank Transfer
ORD-1008,2025-09-27,CUST-194,Olivia Walker,Glasgow,Denim Jeans,Clothing,1,49.99,5.0,Online Store,Cash
ORD-1009,2025-02-22,CUST-123,Ethan Johnson,Edinburgh,Winter Jacket,Outerwear,3,89.99,10.0,Physical Store,Cash
ORD-1010,2025-12-11,CUST-170,Ethan Smith,Edinburgh,Winter Jacket,Outerwear,2,89.99,20.0,Online Store,Cash
ORD-1011,2025-03-22,CUST-235,Mason Brown,Birmingham,Sneakers,Footwear,5,64.99,20.0,Online Store,PayPal
ORD-1012,2025-01-28,CUST-234,Isabella Roberts,Edinburgh,Baseball Cap,Accessories,1,14.99,20.0,Online Store,Credit Card
ORD-1013,2025-10-20,CUST-198,William Thomas,Glasgow,Classic T-Shirt,Clothing,5,18.99,20.0,Physical Store,PayPal
ORD-1014,2025-09-14,CUST-104,Charlotte Brown,Leeds,Classic T-Shirt,Clothing,1,18.99,10.0,Online Store,PayPal
ORD-1015,2025-06-28,CUST-162,Isabella Walker,Leeds,Winter Jacket,Outerwear,4,89.99,20.0,Online Store,Bank Transfer
ORD-1016,2025-08-25,CUST-242,William Evans,Bristol,Leather Belt,Accessories,3,24.99,10.0,Marketplace,PayPal
ORD-1017,2025-02-14,CUST-161,Olivia Walker,Edinburgh,Hoodie,Clothing,3,39.99,5.0,Physical Store,Cash
ORD-1018,2025-12-14,CUST-228,Mason Walker,Edinburgh,Leather Belt,Accessories,3,24.99,15.0,Online Store,Debit Card
ORD-1019,2025-07-17,CUST-236,Liam Evans,Cardiff,Leather Belt,Accessories,2,24.99,0.0,Online Store,Credit Card
ORD-1020,2025-08-21,CUST-212,Amelia Thomas,London,Sneakers,Footwear,4,64.99,0.0,Physical Store,Cash
ORD-1021,2025-04-23,CUST-180,James Wilson,London,Running Socks,Footwear,1,9.99,,Marketplace,Cash
ORD-1022,2025-05-06,CUST-229,James Smith,Cardiff,Canvas Tote Bag,Accessories,4,19.99,10.0,Online Store,Cash
ORD-1023,2025-10-07,CUST-168,James Davies,Bristol,Running Socks,Footwear,1,9.99,0.0,Marketplace,PayPal
ORD-1024,2025-12-15,CUST-102,Mason Davies,Bristol,Classic T-Shirt,Clothing,1,18.99,5.0,Physical Store,Cash
ORD-1025,2025-12-18,CUST-151,Liam Taylor,Edinburgh,Hoodie,Clothing,1,39.99,0.0,Online Store,Credit Card
ORD-1026,2025-05-31,CUST-141,Mia Roberts,Birmingham,Sneakers,Footwear,1,64.99,0.0,Physical Store,Credit Card
ORD-1027,2025-10-31,CUST-239,James Johnson,Cardiff,Winter Jacket,Outerwear,2,89.99,5.0,Marketplace,PayPal
ORD-1028,2025-10-31,CUST-230,Liam Brown,Bristol,Running Socks,Footwear,1,9.99,0.0,Marketplace,Debit Card
ORD-1029,2025-04-14,CUST-183,James Thomas,Birmingham,Sneakers,Footwear,2,64.99,0.0,Physical Store,Debit Card
ORD-1030,2025-07-13,CUST-153,Olivia Johnson,Birmingham,Hoodie,Clothing,1,39.99,10.0,Online Store,Debit Card
ORD-1031,2025-10-31,CUST-247,James Wilson,Glasgow,Leather Belt,Accessories,1,24.99,5.0,Online Store,PayPal
ORD-1032,2025-01-22,CUST-137,Mia Brown,Liverpool,Classic T-Shirt,Clothing,5,18.99,0.0,Physical Store,PayPal
ORD-1033,2025-11-13,CUST-147,James Smith,Birmingham,Denim Jeans,Clothing,2,49.99,15.0,Online Store,Debit Card
ORD-1034,2025-01-06,CUST-198,Charlotte Wilson,Edinburgh,Classic T-Shirt,Clothing,2,18.99,5.0,Marketplace,Bank Transfer
ORD-1035,2025-04-26,CUST-166,Liam Smith,Manchester,Classic T-Shirt,Clothing,3,18.99,10.0,Online Store,Credit Card
ORD-1036,2025-10-15,CUST-185,Sophia Johnson,Leeds,Hoodie,Clothing,5,39.99,15.0,Physical Store,PayPal
ORD-1037,2025-10-26,CUST-138,James Thomas,Leeds,Rain Coat,Outerwear,1,74.99,0.0,Physical Store,Credit Card
ORD-1038,2025-11-09,CUST-135,Mia Walker,Bristol,Winter Jacket,Outerwear,5,89.99,10.0,Online Store,Cash
ORD-1039,2025-11-18,CUST-131,Mia Johnson,Leeds,Hoodie,Clothing,4,39.99,20.0,Online Store,PayPal
ORD-1040,2025-11-10,CUST-157,Charlotte Davies,Liverpool,Winter Jacket,Outerwear,1,89.99,20.0,Physical Store,Credit Card
ORD-1041,2025-09-21,CUST-152,Mason Wilson,Cardiff,Canvas Tote Bag,Accessories,4,19.99,15.0,Online Store,Bank Transfer
ORD-1042,2025-11-04,CUST-243,Liam Evans,Manchester,Leather Belt,Accessories,3,24.99,20.0,Online Store,PayPal
ORD-1043,2025-12-12,CUST-216,Liam Walker,Leeds,Classic T-Shirt,Clothing,5,18.99,20.0,Physical Store,Cash
ORD-1044,2025-08-27,CUST-133,Isabella Smith,Liverpool,Baseball Cap,Accessories,1,14.99,0.0,Online Store,Bank Transfer
ORD-1045,2025-10-05,CUST-192,William Wilson,Leeds,Baseball Cap,Accessories,1,14.99,10.0,Physical Store,Credit Card
ORD-1046,2025-02-16,CUST-193,Lucas Wilson,Bristol,Hoodie,Clothing,2,39.99,15.0,Physical Store,Credit Card
ORD-1047,2025-10-16,CUST-200,William Taylor,Leeds,Rain Coat,Outerwear,5,74.99,10.0,Physical Store,Bank Transfer
ORD-1048,2025-05-27,CUST-195,Isabella Walker,London,Leather Belt,Accessories,1,24.99,5.0,Online Store,Bank Transfer
ORD-1049,2025-06-09,CUST-183,Olivia Smith,Glasgow,Leather Belt,Accessories,5,24.99,20.0,Online Store,PayPal
